"","Year","DonorCode","DonorName","AgencyCode","AgencyName","CrsID","ProjectNumber","InitialReport","RecipientCode","RecipientName","RegionCode","RegionName","IncomegroupCode","IncomegroupName","FlowCode","FlowName","Bi_Multi","Category","Finance_t","Aid_t","USD_Commitment","USD_Disbursement","USD_Received","USD_Commitment_Defl","USD_Disbursement_Defl","USD_Received_Defl","USD_Adjustment","USD_Adjustment_Defl","USD_AmountUntied","USD_AmountPartialTied","USD_AmountTied","USD_AmountUntied_Defl","USD_AmountPartialTied_Defl","USD_Amounttied_Defl","USD_IRTC","USD_Expert_Commitment","USD_Expert_Extended","USD_Export_Credit","CurrencyCode","Commitment_National","Disbursement_National","GrantEquiv","USD_GrantEquiv","ShortDescription","ProjectTitle","PurposeCode","PurposeName","SectorCode","SectorName","ChannelCode","ChannelName","ChannelReportedName","ParentChannelCode","Geography","ExpectedStartDate","CompletionDate","LongDescription","SDGfocus","Gender","Environment","PDGG","Trade","RMNCH","DRR","Nutrition","Disability","FTC","PBA","InvestmentProject","AssocFinance","Biodiversity","ClimateMitigation","ClimateAdaptation","Desertification","CommitmentDate","TypeRepayment","NumberRepayment","Interest1","Interest2","Repaydate1","Repaydate2","USD_Interest","USD_Outstanding","USD_Arrears_Principal","USD_Arrears_Interest","BudgetIdent","CapitalExpend","PSIflag","PSIAddType","PSIAddAssess","PSIAddDevObj","ID"
"321069",2016,302,"United States",11,"State Department","2016007749","61_1335",3,431,"Brazil",10006,"South America",10019,"UMICs",11,"ODA Grants",1,10,110,"D02",0,0.150344,0,0,0.159648,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0.150344,0.150344,0.150344,"U.S.-BRAZIL JOINT INITIATIVE ON URBAN SUSTAINABIITY (JIUS)","U.S.-Brazil Joint Initiative on Urban Sustainabiity (JIUS)",41010,"Environmental policy and administrative management",410,"Gen. Environment Protection",11001,"Central Government","Central Government",11000,"","6/1/2011","7/29/2016","To  identify opportunities for greater collaboration with the private sector on green infrastructure and explore innovative financing mechanism in Brazil.","0",0,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,"1/1/2016",0,0,"",0,"","",0,0,0,0,41010,0,0,0,"0","0",379
"324093",2016,302,"United States",1,"Agency for International Development","20169015017","76_52552",3,755,"Philippines",10008,"Far East Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",0,0.58734,0,0,0.623688,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0.58734,0.58734,0.58734,"STRENGTHENING URBAN RESILIENCE FOR GROWTH WITH EQUITY (SURGE) - TRANSPORT SERVICES","Strengthening Urban Resilience for Growth with Equity (SURGE) - Transport Services",21010,"Transport policy and administrative management",210,"Transport and Storage",22000,"Donor country-based NGO","International City/County Management Association",22000,"","7/22/2015","7/26/2020","Strengthening Urban Resilience for Growth with Equity (SURGE) is a crucial component of Partnership for Growth (PFG) and the Cities Development Initiative (CDI). The primary goal is to support a highly innovative, creative, and cost efficient solutions that set the conditions for broad-based and inclusive and resilient economic growth and foster higher investment, increased economic opportunities and productive employment for a critical mass of cities and regions outside Metro Manila. The SURGE activity aims to promote more balanced and resilient urban growth, reduce economic disparities, and improve socio-economic conditions for highly urbanized second-tier cities and their surrounding areas. This activity will assist cities and adjacent areas plan effectively, guarantee basic public services, reduce business transaction costs, promote competitiveness, support sustainable development, and reduce disaster risks while ensuring inclusive and sustainable growth. Interventions will promote efforts to: a. Improve local capacity in urban developmentb.Increase local economic development by fostering business enabling measuresc.","0",1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,"1/1/2016",0,0,"",0,"","",0,0,0,0,21010,0,0,0,"0","0",380
"324746",2016,302,"United States",1,"Agency for International Development","20169007710","76_45044",3,738,"Indonesia",10008,"Far East Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",0,0.244703,0,0,0.259847,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0.244703,0.244703,0.244703,"INDONESIA CLEAN ENERGY DEVELOPMENT (ICED) - MODERN ENERGY SERVICES","Indonesia Clean Energy Development (ICED) - Modern Energy Services",23110,"Energy policy and administrative management",231,"Energy",61000,"Private sector in provider country","Private sector in provider country",61000,"","3/8/2011","9/30/2014","USAIDs Indonesia Clean Energy Development (ICED) program is contributing to the sustainable management of natural resources in Indonesia by addressing the primary barriers to clean energy development in the country. The ICED program is increasing access to energy services to stimulate economic growth and reducing the growth of greenhouse gas emissions from the energy sector by improving clean energy development. Through the ICED program, Tetra Tech is helping USAID to: 1) Improve energy sector policy and coordination; 2) Increase the development of clean energy projects, including energy efficiency and on- and off-grid renewable energy pilot projects, many of which are implemented under grants to private entities and NGOs; 3) Increase institutional capacity and public outreach; 4) Administer grants and provide financial advisory services to encourage the implementation of renewable energy projects and support climate change mitigation activities","0",2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,"1/1/2016",0,0,"",0,"","",0,0,0,0,23110,0,0,0,"0","0",381
"326444",2016,302,"United States",1,"Agency for International Development","20169014416","76_52077",1,738,"Indonesia",10008,"Far East Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",0.005178,0.005178,0,0.00549844,0.00549844,0,0,0,0,0,0.005178,0,0,0.00549844,0,0,0,0,302,0.005178,0.005178,0.005178,0.005178,"INDONESIA CLEAN ENERGY DEVELOPMENT - II (ICED II PROJECT) - MODERN ENERGY SERVICES","Indonesia Clean Energy Development - II (ICED II Project) - Modern Energy Services",23110,"Energy policy and administrative management",231,"Energy",61000,"Private sector in provider country","Private sector in provider country",61000,"","5/8/2015","5/7/2020","ICED II aims to improve the governance of clean energy development in Indonesia, with an emphasis on establishing an effective policy, regulatory and incentive environment for low-emission growth in the energy sector. ICED II project will be partnering with both the Central Government and several Local Governments. Further, it aims to provide assistance and advisory services to the GOI in identifying and overcoming gaps in the climate change mitigation and energy planning frameworks/processes within the energy sector, and in formulating/refining relevant regulations and policies more conducive of successful implementation of emission reduction plan and rapid development of clean energy project.","0",1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"1/1/2016",0,0,"",0,"","",0,0,0,0,23110,0,0,0,"0","0",382
"332198",2016,302,"United States",12,"Trade and Development Agency","2016009499","70_8940",3,645,"India",10009,"South & Central Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",0,0.23,0,0,0.244234,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0.23,0.23,0.23,"FEASIBILITY STUDY - CLEAN ENERGY FOR TELECOM TOWERS PILOT, THROUGH ICF INTERNATIONAL","Feasibility Study - Clean Energy for Telecom Towers Pilot, through ICF International",23110,"Energy policy and administrative management",231,"Energy",61000,"Private sector in provider country","Private sector in provider country",61000,"","12/2/2013","12/2/2017","This $669,991 grant is funding a feasibility study and pilot project to assess the technical, economical, and financial feasibility of deploying solar hybrid methanol based fuel cells (SHMBFC) and battery systems that would provide continuous and uninterruptable power to telecom towers in India. The project is assisting Idea Cellular Limited, India's third largest mobile services operator, in its effort to replace stationary diesel engines by demonstrating SHMBFC technology at five different telecom tower sites using 2.5 kilowatt (kW) and 5.0 kW fuel cell units. This study aims to support the development of sustainable infrastructure while also opening up the market to U.S. businesses that could supply state-of-the-art goods and services for project implementation.","0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"1/1/2016",0,0,"",0,"","",0,0,0,0,23110,0,0,0,"0","0",383
"332322",2016,302,"United States",1,"Agency for International Development","20169002053","76_33060",1,645,"India",10009,"South & Central Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",0.7,1.90651,0,0.74332,2.0245,0,0,0,0.7,0,0,0.74332,0,0,0,0,0,0,302,0.7,1.90651,1.90651,1.90651,"ENERGY UTILITY PARTNERSHIP - USEA - MODERN ENERGY SERVICES","Energy Utility Partnership - USEA - Modern Energy Services",23110,"Energy policy and administrative management",231,"Energy",22000,"Donor country-based NGO","U.S. Energy Association",22000,"","9/30/2007","9/30/2017","The Energy Utility Partnership Program's principal activity is the establishment of one-on-one executive partnerships between developing country electric utilities, gas utilities, transmission and other energy sector operators & policy makers and their U.S. counterparts.","0",1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,"1/1/2016",0,0,"",0,"","",0,0,0,0,23110,0,0,0,"0","0",384
"334278",2016,302,"United States",12,"Trade and Development Agency","2016009633","70_9093",3,431,"Brazil",10006,"South America",10019,"UMICs",11,"ODA Grants",1,10,110,"C01",0,0.187573,0,0,0.199181,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0.187573,0.187573,0.187573,"REVERSE TRADE MISSION - TELECOMMUNICATIONS TECHNOLOGIES FOR POWER UTILITIES, THROUGH MARITZ, LLC","Reverse Trade Mission - Telecommunications Technologies For Power Utilities, through Maritz, LLC",23110,"Energy policy and administrative management",231,"Energy",61000,"Private sector in provider country","Private sector in provider country",61000,"","3/31/2015","3/30/2017","This reverse trade mission (RTM) helped familiarize Brazilian government and utility representatives with the latest U.S. equipment, services, and best practices in telecommunications technologies for power distribution companies. The RTM was intended to support Brazil's efforts to upgrade its telecommunications networks and prepare them for the incorporation of smart grid technologies. The RTM was held in May 2015. The delegation visited Atlanta, GA and Washington, DC.","0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"1/1/2016",0,0,"",0,"","",0,0,0,0,23110,0,0,0,"0","0",385
"334948",2016,302,"United States",12,"Trade and Development Agency","2016009507","70_8950",3,730,"China",10008,"Far East Asia",10019,"UMICs",11,"ODA Grants",1,10,110,"C01",0,0.129889,0,0,0.137927,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0.129889,0.129889,0.129889,"FEASIBILITY STUDY - GREEN DATA CENTER, THROUGH SGH HOLDINGS, LLC","Feasibility Study - Green Data Center, through SGH Holdings, LLC",23110,"Energy policy and administrative management",231,"Energy",61000,"Private sector in provider country","Private sector in provider country",61000,"","7/8/2014","7/8/2018","This $800,000 grant is funding a feasibility study (FS) and pilot project for the China Institute of Electronics (CIE), an entity under the Ministry of Industry and Information Technology (MIIT). The FS is evaluating and demonstrating U.S. energy efficient technologies for a green data center pilot project at the Jiangsu Lake Cloud Data Center in Wuxi, China. The costs of the study are being shared by the sole-source contractor SGH Holdings, LLC. This study aims to support the development of sustainable infrastructure while also opening up the market to U.S. businesses that could supply state-of-the-art goods and services for project implementation.","0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"1/1/2016",0,0,"",0,"","",0,0,0,0,23110,0,0,0,"0","0",386
"339811",2016,302,"United States",1,"Agency for International Development","20169010901","76_49000",3,665,"Pakistan",10009,"South & Central Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",0,1.025,0,0,1.08843,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,1.025,1.025,1.025,"MANGLA DAM REHABILITATION PROJECT - MODERN ENERGY SERVICES","Mangla Dam Rehabilitation Project - Modern Energy Services",23110,"Energy policy and administrative management",231,"Energy",12001,"Central Government","Central Government",12000,"","8/15/2013","12/31/2017","Mangla Dam Rehabilitation Project","0",1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,"1/1/2016",0,0,"",0,"","",0,0,0,0,23110,0,0,0,"0","0",387
"340325",2016,302,"United States",12,"Trade and Development Agency","2016009713","70_9179",3,730,"China",10008,"Far East Asia",10019,"UMICs",11,"ODA Grants",1,10,110,"C01",0,0.133755,0,0,0.142033,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0.133755,0.133755,0.133755,"TECHNICAL ASSISTANCE - SMART GRID SUBSTATION COMMUNICATION ARCHITECTURE, THROUGH OSISOFT, LLC","Technical Assistance - Smart Grid Substation Communication Architecture, through OSIsoft, LLC",23183,"Energy conservation and demand-side efficiency",231,"Energy",61000,"Private sector in provider country","Private sector in provider country",61000,"","9/21/2012","9/30/2017","USTDA grant funding of $668,777 is supporting technical assistance (TA) to the China Electric Power Research institute, a subsidiary of the State Grid Corporation of China, and a pilot project on smart grid substation communication architecture. This TA will develop and demonstrate a model that is intended to serve as the basis for a new Chinese standard for future smart grid communication network deployment. This TA aims to support the development of sustainable infrastructure while also opening up the market to U.S. businesses that could supply state-of-the-art goods and services for project implementation.","0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"1/1/2016",0,0,"",0,"","",0,0,0,0,23183,0,0,0,"0","0",388
"340454",2016,302,"United States",12,"Trade and Development Agency","2016009557","70_9004",1,358,"Mexico",10005,"Caribbean & Central America",10019,"UMICs",11,"ODA Grants",1,10,110,"C01",0.92481,0,0,0.982043,0,0,0,0,0,0,0.92481,0,0,0.982043,0,0,0,0,302,0.92481,0,0,0,"NAICM GREEN AIRPORT PROGRAM, THROUGH ENTERPRISE - UNITED STATES UNKNOWN","Naicm Green Airport Program, through Enterprise - United States Unknown",21050,"Air transport",210,"Transport and Storage",61000,"Private sector in provider country","Private sector in provider country",61000,"","9/6/2016","9/6/2020","This $924,810 grant is funding technical assistance to develop a Green Airport Program for the new Mexico City International Airport. Mexico City's new airport is expected to become the largest airport in Latin America and one of the busiest airports in the world. The Green Airport Program is helping the airport concession holder, Grupo Aeroportunario de la Ciudad de México, S.A. de C.V. (GACM), to adopt international best practices related to green airport construction and operations by using renewable energy resources, and promoting the use of public transport. This technical assistance aims to support the development of sustainable infrastructure while also opening up the market to U.S. businesses that could supply state-of-the-art goods and services for project implementation.","0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"1/1/2016",0,0,"",0,"","",0,0,0,0,21050,0,0,0,"0","0",389
"341377",2016,302,"United States",1,"Agency for International Development","20169007013","76_44065",3,665,"Pakistan",10009,"South & Central Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",0,4.41975,0,0,4.69327,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,4.41975,4.41975,4.41975,"USAID POWER DISTRIBUTION PROJECT - MODERN ENERGY SERVICES","USAID Power Distribution Project - Modern Energy Services",23110,"Energy policy and administrative management",231,"Energy",61000,"Private sector in provider country","Private sector in provider country",61000,"","9/17/2010","9/16/2015","The purpose of this acquisition is to procure services to plan the implementation and start-up of a performance improvement program for Pakistan's Government-owned Power Distribution Companies (DISCO') in consultation with agencies of the Government of Pakistan (GOP), and at USAID's option, implements the aformentioned program in participating DISCOs.","0",1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,"1/1/2016",0,0,"",0,"","",0,0,0,0,23110,0,0,0,"0","0",390
"341745",2016,302,"United States",12,"Trade and Development Agency","2016009715","70_9181",3,730,"China",10008,"Far East Asia",10019,"UMICs",11,"ODA Grants",1,10,110,"C01",0,0.030661,0,0,0.0325585,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0.030661,0.030661,0.030661,"TECHNICAL ASSISTANCE - SMART METER STANDARDS DEVELOPMENT, THROUGH NATIONAL ELECTRICAL MANUFACTURERS ASSOCIATION","Technical Assistance - Smart Meter Standards Development, through National Electrical Manufacturers Association",23183,"Energy conservation and demand-side efficiency",231,"Energy",61000,"Private sector in provider country","Private sector in provider country",61000,"","5/26/2010","5/2/2016","USTDA provided a $150,661 technical assistance (TA) to the China Electrical Equipment Industry Association (CEEIA) in order to support China's smart grid development priorities. This TA had allowed for the organization of a series of technical meetings in China between U.S. and Chinese smart grid experts and standards developers to develop a common electricity metering standard and to draft a roadmap for continued U.S.-China smart grid technical standards harmonization. This TA aimed to support the development of sustainable infrastructure while also opening up the market to U.S. businesses that could supply state-of-the-art goods and services for project implementation.","0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"1/1/2016",0,0,"",0,"","",0,0,0,0,23183,0,0,0,"0","0",391
"341863",2016,302,"United States",12,"Trade and Development Agency","2016009399","70_8639",3,730,"China",10008,"Far East Asia",10019,"UMICs",11,"ODA Grants",1,10,110,"C01",0,0.076047,0,0,0.0807532,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0.076047,0.076047,0.076047,"REVERSE TRADE MISSION - SMART GRID TECHNOLOGIES, THROUGH THE WEBSTER GROUP","Reverse Trade Mission - Smart Grid Technologies, through The Webster Group",23183,"Energy conservation and demand-side efficiency",231,"Energy",61000,"Private sector in provider country","Private sector in provider country",61000,"","3/30/2015","3/29/2017","USTDA supported a Smart Grid Technologies Reverse Trade Mission (RTM) to bring delegates from China's National Energy Administration, provincial and municipal grid operators, and electric grid utility companies to the United States for site visits and meetings with public and private sector experts on smart grid technologies. The RTM's objective was to familiarize Chinese decision-makers and grid operators with U.S. best practices and technologies for the smart grid industry.","0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"1/1/2016",0,0,"",0,"","",0,0,0,0,23183,0,0,0,"0","0",392
"341870",2016,302,"United States",1,"Agency for International Development","20169008269","76_45709",3,665,"Pakistan",10009,"South & Central Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",0,3.75441,0,0,3.98675,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,3.75441,3.75441,3.75441,"USAID ENERGY POLICY PROJECT - MODERN ENERGY SERVICES","USAID Energy Policy Project - Modern Energy Services",23110,"Energy policy and administrative management",231,"Energy",61000,"Private sector in provider country","Private sector in provider country",61000,"","2/1/2012","10/15/2015","The project seeks to strengthen Pakistan's power generation and transmission systems and promote relevant policy reform. The project provides advice and technologies, as well as oversees USAID-funded construction and repairs of thermal power plants and dams. Through these and other efforts, the project is helping the Government of Pakistan to put more power on the national grid, decrease losses in revenues, and increase cost recovery by the power generation institutions. Objectives: The main objective of the project is to strengthen Pakistan's energy sector by improving the country's power generation and transmission capacity. Main Activities: 1) Support the Government of Pakistan's policy reform activities; 2) Advise the ministries of Water and Power, Finance, and Petroleum and Natural Resources, as well as the Energy Wing of the Planning Commission on power sector issues such as shale gas and the imports of liquified natural gas; 3) Conduct studies related to power .","0",1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,"1/1/2016",0,0,"",0,"","",0,0,0,0,23110,0,0,0,"0","0",393
"342596",2016,302,"United States",11,"State Department","2016007614","61_1206",3,730,"China",10008,"Far East Asia",10019,"UMICs",11,"ODA Grants",1,10,110,"C01",0,0.22565,0,0,0.239615,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0.22565,0.22565,0.22565,"ECOPARTNERSHIPS","EcoPartnerships",41010,"Environmental policy and administrative management",410,"Gen. Environment Protection",11001,"Central Government","Central Government",11000,"","1/1/2015","7/14/2016","To support activities and initiatives for the U.S.-China EcoPartnerships program. EcoPartnerships leverage accomplishments of the Ten Year Energy and Environment Cooperation Framework and aim to maximize opportunities to test and demonstrate innovative policies, technologies, and new approaches at the sub-national level.","0",0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,"1/1/2016",0,0,"",0,"","",0,0,0,0,41010,0,0,0,"0","0",394
"343451",2016,302,"United States",12,"Trade and Development Agency","2016009721","70_9190",3,730,"China",10008,"Far East Asia",10019,"UMICs",11,"ODA Grants",1,10,110,"C01",0,0.132855,0,0,0.141077,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0.132855,0.132855,0.132855,"TECHNICAL ASSISTANCE - U.S.-CHINA AVIATION SUSTAINABILITY INITIATIVE, THROUGH U.S. CHAMBER OF COMMERCE","Technical Assistance - U.S.-China Aviation Sustainability Initiative, through U.S. Chamber of Commerce",21050,"Air transport",210,"Transport and Storage",61000,"Private sector in provider country","Private sector in provider country",61000,"","7/26/2013","7/26/2017","USTDA is providing a $885,700 technical assistance (TA) to the Civil Aviation Administration of China (CAAC) for the U.S.-China Aviation Sustainability Initiative program in support of the U.S.-China Aviation Cooperation Program (ACP). This program is assisting CAAC in developing a sustainable aviation plan to help reduce emissions and energy consumption associated with the country's growing aviation industry. This TA aims to support the development of sustainable infrastructure while also opening up the market to U.S. businesses that could supply state-of-the-art goods and services for project implementation.","0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"1/1/2016",0,0,"",0,"","",0,0,0,0,21050,0,0,0,"0","0",395
"354198",2016,302,"United States",12,"Trade and Development Agency","2016009699","70_9164",3,769,"Vietnam",10008,"Far East Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",0,0.12557,0,0,0.133341,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0.12557,0.12557,0.12557,"TECHNICAL ASSISTANCE - NATIONAL POWER TRANSMISSION INFORMATION TECHNOLOGY ROADMAP, THROUGH TANGIBLE INTERNATIONAL CORPORATION","Technical Assistance - National Power Transmission Information Technology Roadmap, through Tangible International Corporation",23110,"Energy policy and administrative management",231,"Energy",61000,"Private sector in provider country","Private sector in provider country",61000,"","4/26/2013","4/26/2017","USTDA's $627,850 in technical assistance (TA) funding allowed the National Power Transmission Corporation of Vietnam (NPT) to evaluate an information technology (IT) and smart grid roadmap focused on expanding and modernizing Vietnam's electrical grid through the implementation of advanced IT solutions, including smart grid applications, automation, and other transmission management technologies. This TA aimed to support the development of sustainable infrastructure while also opening up the market to U.S. businesses that could supply state-of-the-art goods and services for project implementation.","0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"1/1/2016",0,0,"",0,"","",0,0,0,0,23110,0,0,0,"0","0",396
"354413",2016,302,"United States",1,"Agency for International Development","20169002054","76_33060",1,665,"Pakistan",10009,"South & Central Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",0.175802,0.175802,0,0.186682,0.186682,0,0,0,0.175802,0,0,0.186682,0,0,0,0,0,0,302,0.175802,0.175802,0.175802,0.175802,"ENERGY UTILITY PARTNERSHIP - USEA - MODERN ENERGY SERVICES","Energy Utility Partnership - USEA - Modern Energy Services",23110,"Energy policy and administrative management",231,"Energy",22000,"Donor country-based NGO","U.S. Energy Association",22000,"","9/30/2007","9/30/2017","The Energy Utility Partnership Program's principal activity is the establishment of one-on-one executive partnerships between developing country electric utilities, gas utilities, transmission and other energy sector operators & policy makers and their U.S. counterparts.","0",1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,"1/1/2016",0,0,"",0,"","",0,0,0,0,23110,0,0,0,"0","0",397
"358549",2016,701,"Japan",8,"Japanese International Co-operation Agency","2016961651","",1,764,"Thailand",10008,"Far East Asia",10019,"UMICs",11,"ODA Grants",1,10,110,"C01",0.032058,0.032058,0,0.0320686,0.0320686,0,0,0,0,0,0,0,0,0,0,0,0,0,701,0.003488,0.003488,0.003488,0.032058,"TC AGGREGATED ACTIVITIES","TC AGGREGATED ACTIVITIES",41010,"Environmental policy and administrative management",410,"Gen. Environment Protection",12000,"Recipient Government","Recipient Government",12000,"","","","TC AGGREGATED ACTIVITIES","0",0,2,0,0,0,0,0,0,1,0,0,0,1,2,2,0,"12/31/2016",0,0,"",0,"","",0,0,0,0,41010,0,0,0,"0","0",398
"358712",2016,701,"Japan",8,"Japanese International Co-operation Agency","2016962352","",1,738,"Indonesia",10008,"Far East Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",0.030082,0.030082,0,0.0300919,0.0300919,0,0,0,0,0,0,0,0,0,0,0,0,0,701,0.003273,0.003273,0.003273,0.030082,"TC AGGREGATED ACTIVITIES","TC AGGREGATED ACTIVITIES",41010,"Environmental policy and administrative management",410,"Gen. Environment Protection",12000,"Recipient Government","Recipient Government",12000,"","","","TC AGGREGATED ACTIVITIES","0",0,2,0,0,0,0,0,0,1,0,0,0,1,2,2,0,"12/31/2016",0,0,"",0,"","",0,0,0,0,41010,0,0,0,"0","0",399
"359888",2016,701,"Japan",8,"Japanese International Co-operation Agency","2010003074","JICAINP-39",3,738,"Indonesia",10008,"Far East Asia",10018,"LMICs",13,"ODA Loans",1,10,421,"A02",0,0,23.8046,0,0,23.8124,0,0,0,0,0,0,0,0,0,0,0,0,701,0,0,0,0,"CLIMATE CHANGE PROGRAM LOAN (III)","Climate Change Program Loan (III)",41010,"Environmental policy and administrative management",410,"Gen. Environment Protection",12000,"Recipient Government","Recipient Government",12000,"Nationwide","","","To support climate change policies","0",0,2,1,0,0,0,0,0,0,1,0,0,0,2,2,0,"6/23/2010",1,2,"150",0,"6/20/2015","6/20/2025",0.33115,188.485,0,0,41010,0,0,0,"0","0",400
"360844",2016,701,"Japan",8,"Japanese International Co-operation Agency","2013003026","JICAVN-C16",3,769,"Vietnam",10008,"Far East Asia",10018,"LMICs",13,"ODA Loans",1,10,421,"A02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,0,0,0,0,"SUPPORT PROGRAM TO RESPOND TO CLIMATE CHANGE (III)","Support Program to Respond to Climate Change (III)",41010,"Environmental policy and administrative management",410,"Gen. Environment Protection",12000,"Recipient Government","Recipient Government",12000,"All over Vietnam","","","Support climate change policies implementation","0",0,2,0,0,0,0,0,0,0,1,0,0,0,2,2,0,"3/22/2013",1,2,"300",0,"3/20/2023","3/20/2053",0.414696,128.425,0,0,41010,0,0,0,"0","0",401
"363748",2016,701,"Japan",8,"Japanese International Co-operation Agency","2010003073","JICAVN-C12",3,769,"Vietnam",10008,"Far East Asia",10018,"LMICs",13,"ODA Loans",1,10,421,"A02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,0,0,0,0,"SUPPORT PROGRAM TO RESPOND TO CLIMATE CHANGE (I)","Support Program to Respond to Climate Change (I)",41010,"Environmental policy and administrative management",410,"Gen. Environment Protection",12000,"Recipient Government","Recipient Government",12000,"All over Vietnam","","","TO CONTRIBUTE TO NTP-RCC","0",1,2,0,0,0,0,0,0,0,1,0,0,0,2,2,0,"6/18/2010",1,2,"250",0,"6/20/2020","6/20/2050",0.230417,85.6164,0,0,41010,0,0,0,"0","0",402
"363749",2016,701,"Japan",8,"Japanese International Co-operation Agency","2014003027","JICAVN-C18",3,769,"Vietnam",10008,"Far East Asia",10018,"LMICs",13,"ODA Loans",1,10,421,"A02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,0,0,0,0,"SUPPORT PROGRAM TO RESPOND TO CLIMATE CHANGE(IV)","Support Program to Respond to Climate Change(IV)",41010,"Environmental policy and administrative management",410,"Gen. Environment Protection",12000,"Recipient Government","Recipient Government",12000,"All over Vietnam","","","Support CC policies implementation","0",0,2,0,0,0,0,0,0,0,1,0,0,2,2,2,0,"3/6/2014",1,2,"300",0,"3/20/2024","3/20/2054",0.276464,85.6164,0,0,41010,0,0,0,"0","0",403
"363750",2016,701,"Japan",8,"Japanese International Co-operation Agency","2015003027","JICAVN-C20",3,769,"Vietnam",10008,"Far East Asia",10018,"LMICs",13,"ODA Loans",1,10,421,"A02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,0,0,0,0,"SUPPORT PROGRAM TO RESPOND TO CLIMATE CHANGE(V)","Support Program to Respond to Climate Change(V)",41010,"Environmental policy and administrative management",410,"Gen. Environment Protection",12000,"Recipient Government","Recipient Government",12000,"All over Vietnam","","","Support CC policies implementation","0",0,2,0,0,0,0,0,0,0,1,0,0,0,2,2,0,"3/31/2015",1,2,"300",0,"3/20/2025","3/20/2055",0.414696,128.425,0,0,41010,0,0,0,"0","0",404
"363871",2016,701,"Japan",8,"Japanese International Co-operation Agency","2016950594","",1,764,"Thailand",10008,"Far East Asia",10019,"UMICs",11,"ODA Grants",1,10,110,"C01",0.765073,0.765073,0,0.765326,0.765326,0,0,0,0,0,0,0,0,0,0,0,0,0,701,0.083242,0.083242,0.083242,0.765073,"TC AGGREGATED ACTIVITIES","TC AGGREGATED ACTIVITIES",41010,"Environmental policy and administrative management",410,"Gen. Environment Protection",12000,"Recipient Government","Recipient Government",12000,"","","","TC AGGREGATED ACTIVITIES","0",0,2,0,0,0,0,0,0,1,0,0,0,0,2,2,0,"12/31/2016",0,0,"",0,"","",0,0,0,0,41010,0,0,0,"0","0",405
